epoch,tr_loss,tr_auc,tr_ap,tr_f1,tr_acc,va_loss,va_auc,va_ap,va_f1,va_acc,lr
1,0.20101167615503074,0.519204701158437,0.49262445705429486,0.5521292217327459,0.5234375,0.22877838760614394,0.4098290598290598,0.618243495181534,0.0,0.2751677852348993,4e-05
2,0.18476007841527461,0.5484489522861995,0.5317925459365201,0.507910074937552,0.53828125,0.25379875004291536,0.39198717948717954,0.6096329445775398,0.0,0.30201342281879195,8e-05
3,0.18259636145085095,0.569999072229384,0.5446457339008217,0.5523349436392915,0.565625,0.18177273124456406,0.4108974358974359,0.6204590899585096,0.3624161073825503,0.3624161073825503,0.00012
4,0.17824801634997128,0.5618359587711437,0.5502925991372304,0.5392712550607287,0.55546875,0.22385511845350264,0.4008547008547009,0.612121603422229,0.0,0.2751677852348993,0.00016
5,0.17085893461480736,0.6212491230128755,0.6027812343143604,0.5388513513513513,0.5734375,0.20003825724124907,0.4074786324786325,0.6150183952012677,0.4268292682926829,0.3691275167785235,0.0002
6,0.16120521314442157,0.6981080916030534,0.6989989293498532,0.6497305619707467,0.64453125,0.18240509629249574,0.4058760683760684,0.6139008670894422,0.7555555555555555,0.6308724832214765,0.0001998450648729829
7,0.14667255291715264,0.7751779854681823,0.7650191419066548,0.7151898734177216,0.71875,0.24324533641338347,0.4083333333333333,0.6145802980779524,0.4268292682926829,0.3691275167785235,0.0001993807648581123
8,0.13914308920502663,0.7968583228920134,0.8090537541236014,0.7111853088480802,0.7296875,0.24043265283107756,0.4393162393162393,0.6421803062551026,0.6428571428571429,0.5302013422818792,0.00019860861440553084
9,0.13876789836212994,0.804103182209357,0.7992942185844178,0.7286559594251902,0.74921875,0.28980959206819534,0.4982905982905983,0.6961116291668136,0.3611111111111111,0.3825503355704698,0.0001975311321095217
10,0.1394923179410398,0.7942429636357865,0.8123899179180383,0.7179067865903516,0.73046875,0.21865859776735305,0.5210470085470086,0.713332618102245,0.6229508196721312,0.5369127516778524,0.00019615183249337728
